YEARS;MONTH;NAME;LINK
1971;September;OLIVER WEERASINGHE;https://www.raphaelleonardlevy/jeansellem/
1971;October;SANDRO ADRIANI;
1971;October;Eva Acking;
1971;October;BRITTGARD BONDESSONS;
1971;November;BENGT CHRISTERSSON;
1971;November;INGVAR SVENSSON;
1971;December;LUND OPUS;
1972;January;Kenneth Welfare;
1972;February;Lars Hägglund;
1972;February;Paul Kiraly;
1972;March;Åke Egevad;
1972;April;Raymond Mahout;
1972;April;Lennart Gummeson;
1972;May;Alexius Huber;
1972;May;Barry Bryant;
1972;June;EXPO 1972;
1972;July;Vera Myhre;
1972;July;INDIRA JOHNSON;
1972;August;Paul-Armand Gette;
1972;September;Josef Simon;
1972;September;Knud Holar;
1972;November;Alf Lindgren;
1972;November;Helmut Vakil;
1972;November;Mats B.;
1972;December;Leif Loffe Norman;
1973;January;Karl Johnson;
1973;January;Mats Hansén;
1973;January;Lothar Fischer;
1973;March;POUL SKELBYE;
1973;March;New Eter;
1973;April;Konrad Balder Schäuffelen;
1973;April;Arne Schmitz;
1973;May;Jerzy Grabowski;
1973;May;J.O MALLANDER;
1973;June;MASAAKI UESHIMA;
1973;June;Jeff Ibbo;
1973;August;Boltanski & Gette & Werner & Kalkmann & Messager & Stembera & Zabunyan;
1973;September;Dikt för Dig (Poetry for you);
1973;September;Sol Hanke-Nilsson (TALK);
1973;September;Denis Lindbohm (TALK);
1973;September;Karl H Bolay (TALK);
1973;September;Beatrice Heybroek;
1973;September;Luzzi Herzog & Palle Budtz;
1973;October;Françoise Janicot;
1973;November;Ulf Wahlberg;
1973;November;Karin Luttrup;
1973;November;Per Kirkeby;
1973;December;Sune Nordgren;
1974;January;Werner Brenner;
1974;January;Henning Christiansen;
1974;February;Niels Viggo Bentzon;
1974;February;BO MICHANEK;
1974;March;Poul Gernes & Joel Glassman;
1974;March;Svein Rønning;
1974;April;Barry Pringle;
1974;April;Henrik Have;
1974;April;Annette Messager;
1974;April;HANS NORDENSTRÓM;
1974;May;OBJET TROUVE;
1974;May;Peter Ortman;
1974;June;Joel Glassman;
1974;June;ERIK HAGENS;
1974;August;Paul Armand Gette;
1974;September;Dick Higgins;
1974;September;Christian Boltanski;
1974;September;Bertil Falk;
1974;October;Carsten Regild;
1974;October;Bernard Heidsieck;
1974;November;Bengt Af Klintberg;
1974;November;Ursula Reuter Christiansen;
1974;November;Art Symposium - Ubbeboda Center;
1974;December;Discussion about Gallery S:t Petri;
1974;December;LENE ADLER PETERSEN;
1974;December;Olle Nessle;
1974;December;Christmas Eve with Poetry;
1975;January;Francesc Torres;
1975;January;Jean Le Gac;
1975;January;Werner Brenner;
1975;February;Tony Costa & January Costa;
1975;February;Catastrophe Art;
1975;February;Henrik Have;
1975;February;Joergen Nash;
1975;March;Herve Fischer;
1975;March;MESSAGER & BOLTANSKI & GETTE & LE GAC;
1975;March;MULTI-MEDIA AKTIONSTEATER;
1975;March;Phil Berkman;
1975;April;Eric Andersen;
1975;April;Jacques Charlier;
1975;May;TOM KRØJER;
1975;May;Linda;
1975;May;Jean - Francois Bory;
1975;June;Oscar Reutersvärd;
1975;June;Stig Larsson & Thomas Näsholm;
1975;July;Allan Bealy;
1975;August;100 Days Symposium Ubbeboda;
1975;August;Susanne Valentin & Marten Lindblom;
1975;August;Keiji Uematsu;
1975;August;Bjørn Nørgaard;
1975;August;Ken Friedman;
1975;August;Ubbeboda Center Symposium;
1975;September;CAYC;
1975;September;REINDEER WERK;
1975;September;Carsten Regild & Rolf Börjlind;
1975;October;Anthony Mccall;
1975;October;Endre Tót;
1975;November;Flemming Koefoed;
1975;November;Albert Mertz;
1975;December;Anna Kutera;
1975;December;METTE AARRE;
1976;January;Terry Berkowitz;
1976;January;Michael Crane;
1976;February;CONTEXTUAL ART;
1976;February;Krzysztof Wodiczko;
1976;March;Beau Geste Press;
1976;March;Anne Behrndt;
1976;April;Fukiko Nakabayashi;
1976;April;Douglas Huebler;
1976;April;Christiania;
1976;May;Yumiko Kodama;
1976;June;István Szirányi;
1976;June;Ann-Charlotte + Sture Johannesson;
1976;June;Made In The 20Th Cent.;
1976;June;Yumiko;
1976;September;Kollektiv Herzogstrasse;
1976;September;5 Years Galerie St:Petri 1971 - 1976;
1976;September;Erik Gram:Hanssen;
1976;September;Thomas Niggl;
1976;September;Françoise Sullivan;
1976;October;Ulf Berg;
1976;October;Concert : Volterra 1974-75;
1976;October;John Faichney + Ron Gillespie;
1976;October;Leo Nilsson + Tom Krøjer;
1976;October;Carstens Regild;
1976;November;Joan Mathews;
1976;December;Jean Topazzini;
1976;December;CARSTEN NASH;
1977;January;Peter Mandrup Hansen;
1977;January;Jaroslaw Kozlowski;
1977;January;Steen Høyer;
1977;January;PEACE PLEASE;
1977;February;Michel Dansel;
1977;March;Kirsten Dehlholm and Mistin;
1977;March;Fred Forest;
1977;March;Gert Glentow + Valdemar Wentz;
1977;March;Guglielmo Achille Cavellini;
1977;April;GALLERY CLOSED 01.04-30.11;
1977;December;Lubomyr Melnyk;
1977;December;Lubomyr Melnyk 2;
1977;December;Andrzej Ploski;
1977;December;LUNDADABANK;
1978;January;COUM;
1978;February;Klaus Groh;
1978;February;Bruno Demattio & Swami Anand Veeresh;
1978;March;Steen Høyer;
1978;March;Maria Nevelson;
1978;March;Roberto Altmann;
1978;March;Phil Berkman & John Dedomenico & Carl Johnson & John Spray;
1978;March;Joëlle Dautricourt;
1978;April;Jean Roualdès;
1978;April;Yoshio Nakajima;
1978;May;NEON DE SURO;
1978;May;Jens Jørgen THORSEN;
1978;May;Krystyna Baker;
1978;June;ICC;
1978;August;Henrik Pryds Beck & Tom Krøjer;
1978;September;Ulf Berg & Tom Krøjer & Thomas Niggl & Johan Runeberg;
1978;September;IAC International Artists Cooperation;
1978;October;18 Künstler Aus Hamburg;
1978;October;Magrit Kahl;
1978;October;Philip Anderson;
1978;November;Motti Mizrachi;
1978;November;Alison Knowles;
1978;November;Anna Banana + Bill Gaglione;
1978;November;Fukiko Nakabayashi;
1978;November;Manfred Mohr;
1978;December;All-Time Games | Alla tiders spel;
1978;December;Yumiko Kodama;
1978;December;Gallerí Suðurgata 7;
1979;January;NIELS LOMHOLT & Tom Elling;
1979;January;Horst Tress;
1979;January;SUSANNA ROXMAN;
1979;January;Oscar Reutersvärd;
1979;February;Peter R. Meyer;
1979;February;Ulises Carrión;
1979;February;Fernando De Filippi;
1979;February;TRA;
1979;February;Nicole Gravier;
1979;March;MYTHS-MYTHS;
1979;April;ZONA;
1979;May;POESI LIVE! LUNDS LILLA PENKLUBB;
1979;May;Bill Olson & Roland Spolander;
1979;June;Paul Woodrow;
1979;June;Jh Schuetz & Uwe Poth;
1979;August;MODER JORD;
1979;August;ART AND COUSCOUSISM;
1979;September;NON-CLASSIFIED POST;
1979;September;Ottomar Zimmermann;
1979;September;SOFT ART PRESS;
1979;September;Herve Lesieur;
1979;October;Magnus Malmsten;
1979;November;Jacek Tylicki;
1979;November;John Fekner;
1979;November;Endre Tót;
1979;December;Robin Crozier;
1979;December;JAROSŁAW KOZŁOWSKI;
1980;January;Swedish State Art;
1980;January;Anna Banana & Bill Gaglione;
1980;February;To artists and writers in Scandinavia;
1980;February;Paul Armand Gette;
1980;March;Paul (Pawel) Freisler;
1980;March;Jørgen Nash;
1980;April;Jean-Paul Thenot;
1980;April;Erlingur Pall Ingvarsson;
1980;May;Nathalie Talec & Fanny Volatier & Paul-;
1980;May;Magasin Tessin;
1980;May;Armand Gette;
1980;May;Andrzej Berezianski;
1980;June;Galerie closed;
1980;September;UNLIMITED EXPRESSION;
1980;November;PHILOSOPHICAL WORKSHOP;
1981;January;POLAND SOME TENDENCIES;
1981;February;Jean Sellem;
1981;February;Marie Sjöberg & Jean Sellem;
1981;March;INSIDE-OUT-ART;
1981;April;Jean-Paul Thenot;
1981;April;Bonde And Carstensen;
1981;April;STAMPS BY SOME FIFTY ARTISTS FROM DIFFERENT COUNTRIES;
1981;May;CRES;
1981;May;Rob Nypels & Johan Cornelissen;
1981;May;Roland Vila & Pierre Guillet De Monthoux;
